GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
backend,com.fsd.backend.Entity,Project,0,128,0,0,0,34,0,17,0,17
backend,com.fsd.backend.Entity,Task,0,148,0,0,0,41,0,21,0,21
backend,com.fsd.backend.Entity,ParentTask,0,43,0,0,0,13,0,7,0,7
backend,com.fsd.backend.Entity,User,0,86,0,0,0,30,0,14,0,14
backend,com.fsd.backend,BackendApplication,0,8,0,0,0,3,0,2,0,2
backend,com.fsd.backend.Service,TaskService,0,116,0,2,0,33,0,6,0,5
backend,com.fsd.backend.Service,ParentService,0,59,0,0,0,17,0,3,0,3
backend,com.fsd.backend.Service,ProjectService,0,110,0,2,0,31,0,6,0,5
backend,com.fsd.backend.Service,UserService,0,110,0,2,0,31,0,6,0,5
backend,com.fsd.backend.Controller,ParentController,0,66,0,0,0,16,0,3,0,3
backend,com.fsd.backend.Controller,ProjectController,0,155,0,0,0,38,0,6,0,6
backend,com.fsd.backend.Controller,UserController,0,152,0,0,0,37,0,6,0,6
backend,com.fsd.backend.Controller,TaskController,0,152,0,0,0,37,0,6,0,6
